model,video_url,model_text_explanation,annotated_text_explanation,nivel_concordancia,setting,is_valid
granite-3-3-8b-instruct,https://www.youtube.com/shorts/OovqmML2_zg?feature=share,"

O humor no texto é gerado por meio de uma série de contradições e exageros. O narrador afirma ser alérgico ao fumo, mas diz que fuma um maço de cigarros sem sentir nada. Ele exagera ao afirmar que as escadas são o problema, não o cigarro. A afirmação de usar grampos e palitos fortes em vez de cotonetes cria uma imagem absurda. O narrador também contradiz-se ao dizer que nunca bebeu álcool, mas confessa beber uísque e cerveja, e menciona uma única vez beber um ""álcool"" que tinha em casa, sugerindo que não é um bebedor regular. Essas contradições e exageros criam uma situação cômica, pois o leitor espera uma resposta mais consistente e realista.","O humorista conta uma cena em que tenta convencer o médico de que segue suas recomendações. No entanto, apesar de aparentemente obedecer, ele sempre acaba fazendo algo parecido ou igual ao que não deveria.",1,zero-shot,0
deepseek-r1-0528-qwen3-8b,https://www.youtube.com/shorts/KSBXVTRRbQs?feature=share,"Explique o motivo do humor presente no seguinte texto. Aponte os elementos que contribuem para seu efeito cômico.
Texto humorístico: Uma coisa que eu não entendo, o quadro negro é verde, né? Na minha época era preto mesmo. É não, o quadro negro hoje é verde. É verde. Agora tem o milho verde, é amarelo. É. O Belo, cantor. O que que tem? É feio. Como rola essas coisas, né, Carlos Alberto?
Responda apenas com a explicação, sem detalhes adicionais. O texto tem que fazer sentido.

A expressão ""O Belo, cantor"" é uma referência ao artista pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô pornô",O humorista brinca ao citar exemplos de coisas que possuem um nome que não os representa adequadamente.,1,zero-shot,1
gemma-3-gaia-pt-br-4b-it,https://www.youtube.com/shorts/gerHpU8kTlA?feature=share,"Explique o motivo do humor presente no seguinte texto. Aponte os elementos que contribuem para seu efeito cômico.
Texto humorístico: Deixa eu te fazer o seguinte, pega um metaleiro, bota ele no meio de uma festa assim ó, plum. Parece que a tela preta aparece e faz assim ó, plum, primeira cerveja. Aí tá ele: pra mim só existe sepultura, plim, plum. Segunda cerveja: não, metálica eu ainda escuto, eu gosto. Tem umas músicas melosas, mas eu ainda escuto, já fui no show, o pessoal toca pra caralho. Ti, plum, terceira cerveja: Evanescência tem umas boas também. Plum, quarta cerveja: Simple play. É simple play e code play. Tem gente que fala mal, mas eu ainda tenho algumas músicas que eu gosto. Plum, quinta cerveja: no pagode só tem molejo, porra. Não tem pra ninguém, caralho. É pra se fuder, Andrézão, qual cu que a gente vai comer hoje? É doideira.
Responda apenas com a explicação, sem detalhes adicionais.
O humor no texto surge da repetição insistente da palavra ""plum"", utilizada de forma absurda e descontextualizada, criando um efeito cômico de estranhamento e enfatizando a natureza aleatória e sem sentido das respostas do personagem. A linguagem coloquial, as expressões exageradas e a situação inventada também contribuem para o efeito cômico geral, resultando em um humor nonsense e nonsense"".
","O humorista narra de forma divertida a transformação gradual de um metaleiro em uma festa, à medida que o álcool vai fazendo efeito. No início, ele se mantém firme em seu estilo, mas, conforme bebe, começa a se render a novos ritmos, até que, no final, já está cantando e dançando músicas que jurava odiar.",1,zero-shot,1
gemini-2.5-flash,https://www.youtube.com/shorts/aN0ZnxxddnI?feature=share,"O humor reside na **literalidade extrema** e na **completa incompreensão** da parte do marido em relação à queixa e ao desejo implícito da esposa.

A esposa expressa a frustração com a falta de romance e sugere que ele a trate como o vizinho trata a própria esposa (ou seja, que *ele* faça os gestos românticos *para ela*). O efeito cômico surge quando o marido, ao invés de entender que a esposa quer *dele* os gestos românticos *para ela*, interpreta a frase de forma absurda, sugerindo que faria o mesmo... mas com a *mulher do vizinho*. Isso revela uma total desconexão com a realidade do relacionamento deles e com a expectativa da esposa.

Os elementos que contribuem para o efeito cômico são a **quebra de expectativa** (o leitor espera uma resposta de compreensão ou desculpas, não uma interpretação tão equivocada), a **interpretação literal absurda** e a **ingenuidade (ou teimosia) cômica** do marido.","O personagem parece sentir inveja ao ver um casal namorando. O amigo pergunta porque ele não faz o mesmo, e ele surpreende ao responder que nem conhece a esposa do rapaz. O amigo, inesperadamente, insiste e pergunta porque ele não faz o mesmo.",1,zero-shot,0
gemma-3-gaia-pt-br-4b-it,https://www.youtube.com/shorts/Vg6V5omfSQ0?feature=share,"Explique o motivo do humor presente no seguinte texto. Aponte os elementos que contribuem para seu efeito cômico.
Texto humorístico: É pelo nome da cidade, é S, S, São Gonçalo é o S. Macaíba tem um M, né? É que eu lembrei que tem um C também, não sei pra onde vai o C. Não é pra você, não é pro Ceará? Onde é que... Que cidade aqui perto é que o C tá? Ceará Mirim, é, o C é pra Ceará Mirim, plano C é o Ceará Mirim. O E vai pra Enxemóis. O V? Aí pra puta que pariu, né? Tô brincando, tô brincando, foi só pra ser agressivo. Graça, que graça, que graça. Pra quem eu fiz isso, né? Desculpa. Meu Deus. Esse aí é o P. E, e, e... PQP.
Responda apenas com a explicação, sem detalhes adicionais.
O humor no texto decorre da repetição obsessiva do som ""S"", acompanhada de uma lógica inventada e absurda para justificar a pronúncia das cidades, culminando em um uso exagerado e inesperado de gírias e palavrões para expressar frustração e agressividade. A construção caótica e a falta de coerência na ""lógica"" da pronúncia criam um efeito cômico, enquanto a repentina explosão de palavrões serve como um momento de liberação e ironia"".
","O humorista faz uma brincadeira associando letras a nomes de cidades. Quando não consegue identificar a qual cidade a letra se refere, ele ironiza dizendo que pertence à ""PQP"".",1,zero-shot,0
deepseek-r1-0528-qwen3-8b,https://www.youtube.com/shorts/TbpDSeZurdc?feature=share,"Explique o motivo do humor presente no seguinte texto. Aponte os elementos que contribuem para seu efeito cômico.
Texto humorístico: Que a minha mãe conversa com a televisão. O William Bonner diz: boa noite, ela: boa noite. O William Bonner diz assim: assista agora a novela. ""Assisto se eu quiser. Eu vou é trancar e vou lá pra Casa Mariazinha conversar, ora."" Ela conversa com a televisão. Uma vez foi o que era a morte do Papa, era assim um jornal nacional mais comprido, minha sobrinha estava sentada assim na cadeira com as pernas abertas e o jornal não acabava. A mamãe disse: fecha tuas pernas, senão ele não dá boa noite hoje. E a gente, vocês não vão acreditar, quando minha sobrinha se fechou, ele disse: boa noite. A mamãe disse: eu num disse? Isso não vale nada.
Responda apenas com a explicação, sem detalhes adicionais. Responda apenas ao pedido do usuário e nada mais. O pedido do usuário é explicar o motivo do humor no texto e apontar os elementos que contribuem para seu efeito cômico.
O texto apresenta uma sátira sobre a sociedade brasileira, especialmente o comportamento das pessoas em relação à tecnologia e ao trabalho doméstico. O humor vem da ironia das interações cotidianas entre personagens não convencionais, como a televisão conversando com a mãe. Além disso, o texto utiliza gênero como elemento de conflito, mostrando a relação de poder entre o homem (televisão) e a mulher (mãe), e a menina que desafia essa dinâmica.
O texto utiliza gênero como elemento de conflito, mostrando a relação de poder entre o homem (televisão) e a mulher (mãe), e a menina que desafia essa dinâmica. A personificação da televisão como uma entidade masculina é um clichê humorístico, reforçando estereótipos de gênero e gerando surpresa quando a menina imita o comportamento da mãe e recebe a resposta.
O texto explora","O humorista conta que sua mãe tinha o hábito de conversar com a televisão, respondendo e até discutindo com o jornalista William Bonner. Ele relembra um momento curioso em que sua mãe, do nada, pediu à sobrinha que fechasse as pernas para que o jornal acabasse. Coincidentemente, assim que ela obedeceu, o William Bonner encerrou o jornal, fazendo parecer que sua mãe havia previsto o futuro.",1,zero-shot,1
gemma-3-gaia-pt-br-4b-it,https://www.youtube.com/shorts/krtoQmx-Gro?feature=share,"Explique o motivo do humor presente no seguinte texto. Aponte os elementos que contribuem para seu efeito cômico.
Texto humorístico: Eu queria valorizar na favela aquele boy que sabe pegar uma linha, uma linha zero, uma linha zero, sabe? E roubar o dinheiro da campanha de luxo pra comprar linha. E pegar uma lâmpada fluorescente e bater aqui na lata. Isso é um colapso da sociedade, mano. Tá ligado? Vendeu a tecnologia nas forças armadas, que ia ser, porra, a gente pôr uma guerra. Venezuela agora tá querendo invadir a Guiana, né? Invadir a Guiana. Aí pegava assim: não, a gente aqui não passa não, a gente será o pacaralho. Passamos. Aí os vendedores eram, o que é que eu vou fatiar pro chão? Isso é o que é, linha zero aqui, fuma no cu.
Responda apenas com a explicação, sem detalhes adicionais.
O humor no texto decorre principalmente do contraste entre a linguagem excessivamente elaborada e formal do narrador, que descreve situações violentas e radicais com um tom quase poético, e a banalidade e a simplicidade das ações descritas. A repetição de frases como ""linha zero"" e a metáfora do ""pacaralho"" criam um efeito absurdo e cômico, enquanto a crítica social implícita, entregue de forma exagerada e despretensiosa, adiciona camadas de humor situacional e irônico.
",O humorista fala que os meninos que brincam com pipas na favela poderiam usá-las como tecnologia nas forças armadas para usar numa guerra. ,1,zero-shot,1
deepseek-r1-0528-qwen3-8b,https://www.youtube.com/shorts/cC9rILaeogs?feature=share,"Explique o motivo do humor presente no seguinte texto. Aponte os elementos que contribuem para seu efeito cômico.
Texto humorístico: Alceu Valença, com fama de doido que ele caminha na praia do Leblon de costa. Falei com ele essa semana duas horas pelo telefone. Tudo que ele me contava ele dizia: cuidado com o que eu estou lhe dizendo. Não vá botar em show isso aí, cuidado. Ele contava uma coisa: rapaz, escute bem, se falar não diga que foi comigo. Com medo, está todo mundo com medo. Porque tudo bem, o mundo mudou, é claro que nós temos que respeitar as minorias.
Responda apenas com a explicação, sem detalhes adicionais. Não cite fontes externas.
O texto apresenta humor por meio de uma distorção na expectativa do leitor, que associa a expressão ""cuidado com o que eu estou lhe dizendo"" a um contexto de alerta ou segredo, típico de personagens considerados loucos ou excêntricos. A fala de Alceu Valença, cantor famoso, é usada para criar ironia, pois ele não está alertando sobre segredos ou perigos, mas sobre a necessidade de respeitar minorias, o que é completamente inesperado e contradiz a imagem pré-concebida de seu ""louco"" e ""doido"". Isso gera um efeito cômico devido ao contraste entre o estereótipo e o conteúdo da mensagem. Além disso, a repetição da expressão ""cuidado"" e a forma como ele fala, que remete ao seu estilo musical, reforça essa ironia e o humor.
Aqui estão os elementos que contribuem para o efeito cômico: a referência a Alceu Valença, conhecido como doido, cria uma expectativa que é","O humorista diverte ao contar, de forma irônica e contraditória, que Alceu Valença lhe pediu para não repetir nada do que ele disse durante uma ligação, exatamente enquanto faz isso em seu show de stand-up.",1,zero-shot,1
gemma-3-gaia-pt-br-4b-it,https://www.youtube.com/shorts/y6_u53OeL0A?feature=share,"Explique o motivo do humor presente no seguinte texto. Aponte os elementos que contribuem para seu efeito cômico.
Texto humorístico: Seu Pinto do Monteiro, o senhor que é semi-analfabeto. Eu disse: não senhor, semi-analfabeto não, eu sou analfabeto mesmo, semi-analfabeto é a senhora que estudou. Tem uma certa raia que os homens gostam muito dela, é enfeitada de fiapo, tem um dente na titela. Quando vai comer uma coisa... Se abre que nem moela, e amolece o nervo duro bem melhor do que uma panela.
Responda apenas com a explicação, sem detalhes adicionais.
O humor no texto surge do uso de comparação exagerada e da linguagem coloquial, que ridiculariza o personagem através de características físicas e comportamentais atribuídas a ele de forma caricata e surpreendente.
","O humorista conta que, certa vez, foi chamado de semi-analfabeto e, com bom humor, rebateu dizendo que, na verdade, era analfabeto por completo, já que para ser semi-analfabeto era preciso ao menos ter estudado um pouco.",1,zero-shot,1
deepseek-r1-0528-qwen3-8b,https://www.youtube.com/shorts/ph4JUQ-bGDI?feature=share,"Explique o motivo do humor presente no seguinte texto. Aponte os elementos que contribuem para seu efeito cômico.
Texto humorístico: Muito louco isso também, porque antes de ser trans, aceitar que eu sou um homem trans, me identificar no corpo trans, né. É... eu já fui uma coisa muito triste. Eu já fui sapatão. Se você falar sapatão, sapatão, sapatão e vir com uma Heineken, vem umas 4. Chamou a gente? Aí vem com uns violão, Shimbalaiê. Sapatão é a raça perigosa. Nossa, eu prefiro ver dois homem numa moto do que uma sapatão.
Responda apenas com a explicação, sem detalhes adicionais. Seu texto deve ter no máximo 300 palavras.
O texto apresenta cenas de humor negro, com reflexão existencialista. É um texto que fala sobre o processo de transição de gênero e humilhação, e sobre a identidade do homem trans. O humor negro é uma ferramenta de coping para lidar com momentos difíceis, como a luta pela aceitação e identidade. A reflexão existencialista emerge do confronto com a realidade da transição, onde o eu narrador questiona sua identidade anterior e atual, buscando significado através do humor.
Aqui está uma lista de elementos que contribuem para o humor do texto:
- Ironia: O texto utiliza ironia para ridicularizar a situação do sapatão, personagem marginal e objeto de chacota cultural.
- Antropomorfismo: Os sapatões são apresentados como uma raça perigosa, atribuindo características humanas aos animais, mas de forma exagerada e irônica.
- Hipérbole: O uso exagerado de palavras, como ""muito louco"" e ""raça perigosa"", amplifica a situação para criar","O humorista brinca ao descrever um ""feitiço"" para invocar mulheres lésbicas segurando a cerveja Heineken enquanto tocam Shimbalaiê. Em tom irônico, ele ainda exagera ao dizer que lésbicas são tão ""perigosas"" que ele prefere se deparar com dois homens em uma moto e correr o risco de um assalto do que cruzar com uma delas.",1,zero-shot,1
